,status,totalResults,articles
2,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'US Space Force mocked for unveiling camouflage uniforms', 'description': 'The new uniform, unveiled on the force\'s Twitter, has prompted one question: ""Camo in space?""', 'url': 'https://www.bbc.co.uk/news/world-us-canada-51160547', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/AF55/production/_110558844_usspaceforce.jpg', 'publishedAt': '2020-01-18T16:39:11Z', 'content': 'Image copyrightUS Space ForceImage caption\r\n The US Space Force posted a picture its new uniform on Twitter\r\nThe US Space Force has defended its newly unveiled camouflage uniforms after they were roundly mocked on social media. \r\nThe force, officially launche… [+1563 chars]'}"
3,ok,11874,"{'source': {'id': 'the-washington-post', 'name': 'The Washington Post'}, 'author': 'Carol Morello, Abigail Hauslohner, Maria Sacchetti', 'title': 'New Trump administration rule could make it more difficult for some pregnant women to get U.S. visas - The Washington Post', 'description': ""New Trump administration rule could make it more difficult for some pregnant women to get U.S. visas The Washington Post Trump administration to issue new visa restrictions aimed at curbing 'birth tourism' Fox News Pregnant people could be denied tourist visa…"", 'url': 'https://www.washingtonpost.com/immigration/new-trump-administration-rule-could-make-it-more-difficult-for-some-pregnant-women-to-get-us-visas/2020/01/22/caf582c4-3d65-11ea-b90d-5652806c3b3a_story.html', 'urlToImage': 'https://www.washingtonpost.com/resizer/po49aY_k3csoqAdVgFgAIahx2Pc=/1440x0/smart/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/4U3GF6FOA4I6LOBA52SNMS7CUE.jpg', 'publishedAt': '2020-01-23T00:08:00Z', 'content': 'Most people who are born in the United States are entitled to U.S. citizenship, even if their parents are not citizens. It is unclear how many people travel to the United States to give birth each year with the intention of obtaining citizenship for their chi… [+2897 chars]'}"
4,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Burisma: US firm says Russia hacked company at heart of Trump impeachment', 'description': ""The Ukrainian energy company Burisma is at the centre of President Donald Trump's impeachment"", 'url': 'https://www.bbc.co.uk/news/world-us-canada-51103556', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/1124C/production/_110502207_5294c35e-5587-4647-b7c1-a512d4ee4469.jpg', 'publishedAt': '2020-01-14T09:45:08Z', 'content': ""Image copyrightReutersImage caption\r\n The report says hackers managed to gain access to Burisma and its subsidiaries' email servers\r\nThe Ukrainian gas company at the centre of President Donald Trump's impeachment was successfully hacked by Russian military ag… [+3058 chars]""}"
5,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Kim-Trump personal relations 'not enough to resume' US-North Korea talks"", 'description': ""The US must fully accept North Korea's demands so nuclear discussions can restart, an official says."", 'url': 'https://www.bbc.co.uk/news/world-asia-51074956', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/5E3F/production/_110472142_157cd31b-ea5e-4adb-96c8-39f7aee71f0c.jpg', 'publishedAt': '2020-01-11T11:24:16Z', 'content': 'Image copyrightReutersImage caption\r\n The leaders held an impromptu meeting at the demilitarized zone between the Koreas last June\r\nNorth Korea has received birthday greetings from US President Donald Trump for Kim Jong-un, but says their personal relationshi… [+3961 chars]'}"
6,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'Quiz of the week: On Trump, Russia and the new Bond theme', 'description': ""Have you been paying attention to what's been going on during the past seven days?"", 'url': 'https://www.bbc.co.uk/news/world-51124488', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/6AF6/production/_110528372_eilish_reu.jpg', 'publishedAt': '2020-01-17T00:03:51Z', 'content': ""It's the weekly news quiz - have you been paying attention to what's been going on in the world during the past seven days? \r\nIf you cannot see the quiz, follow this link. \r\nTry last week's quiz via this link.\r\nPicture credits: PA Media, Reuters, EPA, AFP, Ge… [+27 chars]""}"
7,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'North Korea threatens to resume nuclear and ICBM testing', 'description': ""Kim Jong-un also warns of a new 'strategic weapon' up his sleeve but leaves room for new US talks."", 'url': 'https://www.bbc.co.uk/news/world-asia-50962768', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/12CC3/production/_110359967_53423f8a-f6d0-4767-bdd1-79acf1d54f72.jpg', 'publishedAt': '2020-01-01T02:59:19Z', 'content': ""Image copyrightAFPImage caption\r\n Mr Kim warns he's got a new strategic weapon up his sleeve\r\nNorth Korean leader Kim Jong-un has said he is ending his suspension of nuclear and long-range missile tests he put in place during talks with the US. \r\nMr Kim also … [+3420 chars]""}"
8,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""National Archives sorry for censoring 2017 Women's March signs"", 'description': ""The US agency says it was wrong to blur out signs critical of the president at the 2017 Women's March."", 'url': 'https://www.bbc.co.uk/news/world-us-canada-51165023', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/DA12/production/_110562855_correctimage.jpg', 'publishedAt': '2020-01-19T00:17:53Z', 'content': ""Image copyrightGetty ImagesImage caption\r\n An unaltered photo of the 2017 Women's March by photographer Mario Tama\r\nThe US National Archives has apologised for altering a photo of the 2017 Women's March, including blurring signs critical of President Donald T… [+2326 chars]""}"
9,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': 'TRENDING: Franz Ferdinand and #WWIII', 'description': ""There's a lot of speculation online about what the fallout might be from a US drone strike in Iraq."", 'url': 'https://www.bbc.co.uk/news/newsbeat-50982073', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/1CE5/production/_110379370_indexnew.jpg', 'publishedAt': '2020-01-03T11:53:51Z', 'content': ""Image copyrightReuters\r\nFollowing the death of Iran's top military commander, there's a lot of speculation about what might happen next.\r\nGeneral Qasem Soleimani was killed by American drones in Iraq.\r\nIt's escalated an already-tense situation between Iran an… [+3619 chars]""}"
10,ok,11874,"{'source': {'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}, 'author': 'Andrew Restuccia, Greg Ip', 'title': 'Trade Tensions With Europe Flare as Trump Flexes Economic Muscle - The Wall Street Journal', 'description': 'Trade Tensions With Europe Flare as Trump Flexes Economic Muscle The Wall Street Journal Climate activist Greta Thunberg: ""Pretty much nothing has been done"" CBS News Davos: Trump decries climate \'prophets of doom\' with Thunberg in audience BBC News No, Greta…', 'url': 'https://www.wsj.com/articles/with-tariff-threats-trump-again-wields-economic-clout-to-solve-disputes-11579646076', 'urlToImage': 'https://images.wsj.net/im-145999/social', 'publishedAt': '2020-01-21T22:34:00Z', 'content': 'DAVOS, SwitzerlandFresh threats by the U.S. to place tariffs on some of its closest alliesjust days after reaching an initial trade deal with Chinashow that economic pressure remains President Trumps weapon of choice in international disputes.\r\nEven as he lau… [+273 chars]'}"
11,ok,11874,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""US REACTION: 'Sorry Iran' and escalation fears"", 'description': 'Opinions are divided, but most Americans are wondering where the US strike against Iran could lead.', 'url': 'https://www.bbc.co.uk/news/world-us-canada-50987759', 'urlToImage': 'https://ichef.bbci.co.uk/images/ic/1024x576/p07zh89r.jpg', 'publishedAt': '2020-01-03T21:58:10Z', 'content': 'Media captionDemocrats warn of \'dangerous escalation\' with Iran and question is Trump has a plan\r\n""Where is this going?"" is one of many questions thrown up by US political leaders after President Trump\'s decision to have Iran\'s top military figure, Qasem Sole… [+6557 chars]'}"
